dataset,model,0.5,0.6,0.7,0.8,0.9
CommonsenseQA,openai/gpt-3.5-turbo,74.86,74.61,59.71,58.23,57.08
CommonsenseQA,openai/gpt-4,68.47,68.47,52.01,52.01,52.01
CommonsenseQA,openai/gpt-4o-mini,44.06,43.57,23.75,22.69,22.44
CommonsenseQA,openai/gpt-4o,77.07,77.07,64.62,64.54,64.54
GSM8K,openai/gpt-3.5-turbo,75.66,74.37,71.8,70.36,67.7
GSM8K,openai/gpt-4,0.0,0.0,0.0,0.0,0.0
GSM8K,openai/gpt-4o-mini,72.25,71.65,66.94,66.26,65.05
GSM8K,openai/gpt-4o,22.97,21.76,16.07,14.63,13.95
MultiArith,openai/gpt-3.5-turbo,89.0,87.83,84.67,83.67,81.83
MultiArith,openai/gpt-4,36.0,36.0,34.17,33.67,32.5
MultiArith,openai/gpt-4o-mini,66.17,65.17,56.83,55.5,51.33
MultiArith,openai/gpt-4o,26.83,26.0,23.17,19.33,17.17
ObjectTracking,openai/gpt-3.5-turbo,62.93,62.53,61.6,60.93,56.27
ObjectTracking,openai/gpt-4,0.0,0.0,0.0,0.0,0.0
ObjectTracking,openai/gpt-4o-mini,97.2,97.2,96.93,96.93,96.93
ObjectTracking,openai/gpt-4o,87.73,87.73,87.2,87.2,87.2
StrategyQA,openai/gpt-3.5-turbo,92.1,91.4,84.8,80.7,66.7
StrategyQA,openai/gpt-4,48.08,48.08,34.37,34.37,34.24
StrategyQA,openai/gpt-4o-mini,39.48,36.86,28.73,21.0,7.95
StrategyQA,openai/gpt-4o,3.45,3.45,0.22,0.17,0.13
